"year","n","missing","perc_missing"
1995,8760,179,2.04337899543379
1996,8784,169,1.92395264116576
1997,8760,166,1.89497716894977
1998,8760,59,0.67351598173516
1999,8760,86,0.981735159817352
2000,8784,18,0.204918032786885
2001,8760,11,0.125570776255708
2002,8760,6,0.0684931506849315
2003,8760,34,0.388127853881279
2004,8784,97,1.10428051001821
2005,8760,174,1.98630136986301
2006,8760,63,0.719178082191781
2007,8760,61,0.69634703196347
2008,8784,118,1.34335154826958
2009,8760,421,4.80593607305936
2010,8760,422,4.81735159817352
2011,8760,8,0.091324200913242
2012,8784,101,1.14981785063752
2013,8760,113,1.28995433789954
2014,8760,57,0.650684931506849
2015,8760,16,0.182648401826484
2016,8784,29,0.330145719489982
2017,8760,8,0.091324200913242
2018,8760,174,1.98630136986301
2019,7403,1,0.0135080372821829
