"year","n","missing","perc_missing"
2003,8760,124,1.41552511415525
2004,8784,1216,13.8433515482696
2005,8760,1148,13.1050228310502
2006,8760,224,2.55707762557078
2007,8760,58,0.662100456621005
2008,8784,160,1.82149362477231
2009,8760,651,7.43150684931507
2010,8760,889,10.148401826484
2011,8760,73,0.833333333333333
2012,8784,510,5.80601092896175
2013,8760,469,5.35388127853881
2014,8760,193,2.20319634703196
2015,8760,193,2.20319634703196
2016,8784,375,4.26912568306011
2017,8760,226,2.57990867579909
2018,8760,347,3.96118721461187
2019,8760,158,1.80365296803653
