"year","n","missing","perc_missing"
1998,8760,825,9.41780821917808
1999,8760,767,8.75570776255708
2000,8784,482,5.48724954462659
2001,8760,85,0.970319634703196
2002,8760,22,0.251141552511416
2003,8760,21,0.23972602739726
2004,8784,257,2.92577413479053
2005,8760,1232,14.0639269406393
2006,8760,17,0.194063926940639
2007,8760,598,6.82648401826484
2008,8784,110,1.25227686703097
2009,8760,255,2.91095890410959
2010,8760,385,4.39497716894977
2011,8760,289,3.29908675799087
2012,8784,291,3.31284153005464
2013,8760,458,5.22831050228311
2014,8760,208,2.37442922374429
2015,8760,346,3.94977168949772
2016,8784,354,4.03005464480874
2017,8760,174,1.98630136986301
2018,8760,229,2.61415525114155
2019,8760,469,5.35388127853881
