"year","n","missing","perc_missing"
1995,8760,1388,15.8447488584475
1996,8784,414,4.71311475409836
1997,8760,674,7.69406392694064
1998,8760,326,3.72146118721461
1999,8760,189,2.15753424657534
2000,8784,428,4.87249544626594
2001,8760,445,5.07990867579909
2002,8760,8,0.091324200913242
2003,8760,960,10.958904109589
2004,8784,442,5.03187613843352
2005,8760,328,3.74429223744292
2006,8760,332,3.78995433789954
2007,8760,167,1.90639269406393
2008,8784,230,2.6183970856102
2009,8760,609,6.95205479452055
2010,8760,1154,13.1735159817352
2011,8760,255,2.91095890410959
2012,8784,266,3.02823315118397
2013,8760,169,1.92922374429224
2014,8760,146,1.66666666666667
2015,8760,516,5.89041095890411
2016,8784,368,4.18943533697632
2017,8760,1144,13.0593607305936
2018,8760,670,7.64840182648402
2019,8760,331,3.77853881278539
