"year","n","missing","perc_missing"
1997,8760,559,6.38127853881279
1998,8760,231,2.63698630136986
1999,8760,692,7.89954337899543
2000,8784,440,5.00910746812386
2001,8760,344,3.92694063926941
2002,8760,267,3.04794520547945
2003,8760,18,0.205479452054795
2004,8784,281,3.19899817850638
2005,8760,664,7.57990867579909
2006,8760,188,2.14611872146119
2007,8760,7,0.0799086757990868
2008,8784,25,0.284608378870674
2009,8760,582,6.64383561643836
2010,8760,840,9.58904109589041
2011,8760,1,0.0114155251141553
2012,8784,54,0.614754098360656
2013,8760,504,5.75342465753425
2014,8760,208,2.37442922374429
2015,8760,208,2.37442922374429
2016,8784,64,0.728597449908925
2017,8760,567,6.47260273972603
2018,8760,130,1.48401826484018
2019,8760,99,1.13013698630137
