"year","n","missing","perc_missing"
1995,8760,201,2.29452054794521
1996,8784,204,2.3224043715847
1997,8760,125,1.42694063926941
1998,8760,67,0.764840182648402
1999,8760,85,0.970319634703196
2000,8784,34,0.387067395264117
2001,8760,55,0.627853881278539
2002,8760,34,0.388127853881279
2003,8760,97,1.10730593607306
2004,8784,108,1.22950819672131
2005,8760,117,1.33561643835616
2006,8760,105,1.1986301369863
2007,8760,41,0.468036529680365
2008,8784,54,0.614754098360656
2009,8760,29,0.331050228310502
2010,8760,322,3.67579908675799
2011,8760,107,1.22146118721461
2012,8784,110,1.25227686703097
2013,8760,94,1.07305936073059
2014,8760,110,1.25570776255708
2015,8760,171,1.95205479452055
2016,8784,32,0.364298724954463
2017,8760,174,1.98630136986301
2018,8760,256,2.92237442922374
2019,8760,122,1.39269406392694
