"year","n","missing","perc_missing"
1995,8760,115,1.31278538812785
1996,8784,77,0.876593806921676
1997,8760,57,0.650684931506849
1998,8760,3,0.0342465753424658
1999,8760,14,0.159817351598174
2000,8784,16,0.182149362477231
2001,8760,14,0.159817351598174
2002,8760,8,0.091324200913242
2003,8760,20,0.228310502283105
2004,8784,67,0.762750455373406
2005,8760,148,1.68949771689498
2006,8760,29,0.331050228310502
2007,8760,90,1.02739726027397
2008,8784,786,8.94808743169399
2009,8760,282,3.21917808219178
2010,8760,244,2.78538812785388
2011,8760,61,0.69634703196347
2012,8784,306,3.48360655737705
2013,8760,194,2.21461187214612
2014,8760,15,0.171232876712329
2015,8760,2472,28.2191780821918
2016,8784,13,0.14799635701275
2017,8760,123,1.4041095890411
2018,8760,196,2.23744292237443
2019,8760,57,0.650684931506849
