"year","n","missing","perc_missing"
1995,8760,30,0.342465753424658
1996,8784,270,3.07377049180328
1997,8760,2885,32.9337899543379
1998,8760,358,4.08675799086758
1999,8760,990,11.3013698630137
2000,8784,82,0.933515482695811
2001,8760,60,0.684931506849315
2002,8760,334,3.81278538812785
2003,8760,149,1.70091324200913
2004,8784,304,3.4608378870674
2005,8760,104,1.18721461187215
2006,8760,166,1.89497716894977
2007,8760,88,1.00456621004566
2008,8784,163,1.85564663023679
2009,8760,258,2.94520547945205
2010,8760,531,6.06164383561644
2011,8760,5,0.0570776255707763
2012,8784,135,1.53688524590164
2013,8760,1508,17.2146118721461
2014,8760,2,0.0228310502283105
2015,8760,780,8.9041095890411
2016,8784,352,4.00728597449909
2017,8760,173,1.97488584474886
2018,8760,309,3.52739726027397
2019,8760,178,2.03196347031963
