"year","n","missing","perc_missing"
1995,8760,53,0.605022831050228
1996,8784,88,1.00182149362477
1997,8760,41,0.468036529680365
1998,8760,2,0.0228310502283105
1999,8760,1,0.0114155251141553
2000,8784,10,0.11384335154827
2001,8760,318,3.63013698630137
2002,8760,182,2.07762557077626
2003,8760,63,0.719178082191781
2004,8784,8,0.0910746812386157
2005,8760,536,6.11872146118721
2006,8760,399,4.55479452054795
2007,8760,890,10.1598173515982
2008,8784,135,1.53688524590164
2009,8760,1056,12.0547945205479
2010,8760,672,7.67123287671233
2011,8760,686,7.8310502283105
2012,8784,1334,15.1867030965392
2013,8760,929,10.6050228310502
2014,8760,39,0.445205479452055
2015,8760,62,0.707762557077626
2016,8784,7,0.0796903460837887
2017,8760,60,0.684931506849315
2018,8760,514,5.8675799086758
2019,8760,28,0.319634703196347
