"year","n","missing","perc_missing"
1995,8750,203,2.32
1996,8784,17,0.193533697632058
1997,8760,17,0.194063926940639
1998,8760,2,0.0228310502283105
1999,8760,11,0.125570776255708
2000,8784,4,0.0455373406193078
2001,8760,1,0.0114155251141553
2002,8760,21,0.23972602739726
2003,8760,121,1.38127853881279
2004,8784,281,3.19899817850638
2005,8760,326,3.72146118721461
2006,8760,109,1.24429223744292
2007,8760,112,1.27853881278539
2008,8784,41,0.466757741347905
2009,8760,52,0.593607305936073
2010,8760,180,2.05479452054795
2011,8760,2,0.0228310502283105
2012,8784,98,1.11566484517304
2013,8760,151,1.72374429223744
2014,8760,63,0.719178082191781
2015,8760,98,1.11872146118721
2016,8784,128,1.45719489981785
2017,8760,51,0.582191780821918
2018,8760,220,2.51141552511416
2019,8760,124,1.41552511415525
