"year","n","missing","perc_missing"
1995,8760,45,0.513698630136986
1996,8784,192,2.18579234972678
1997,8760,46,0.525114155251142
1998,8760,43,0.490867579908676
1999,8760,24,0.273972602739726
2000,8784,10,0.11384335154827
2001,8760,98,1.11872146118721
2002,8760,71,0.810502283105023
2003,8760,16,0.182648401826484
2004,8784,118,1.34335154826958
2005,8760,71,0.810502283105023
2006,8760,26,0.296803652968037
2007,8760,25,0.285388127853881
2008,8784,1,0.011384335154827
2009,8760,110,1.25570776255708
2010,8760,129,1.47260273972603
2011,8760,3,0.0342465753424658
2012,8784,88,1.00182149362477
2013,8760,143,1.6324200913242
2014,8760,75,0.856164383561644
2015,8760,45,0.513698630136986
2016,8784,4,0.0455373406193078
2017,8760,3,0.0342465753424658
2018,8760,107,1.22146118721461
2019,8760,74,0.844748858447489
