"year","n","missing","perc_missing"
1996,8784,487,5.54417122040073
1997,8760,413,4.71461187214612
1998,8760,671,7.65981735159817
1999,8760,1000,11.4155251141553
2000,8784,292,3.32422586520947
2001,8760,336,3.83561643835616
2002,8760,77,0.878995433789954
2003,8760,142,1.62100456621005
2004,8784,63,0.717213114754098
2005,8760,340,3.88127853881279
2006,8760,196,2.23744292237443
2007,8760,302,3.44748858447489
2008,8784,14,0.159380692167577
2009,8760,580,6.62100456621005
2010,8760,1,0.0114155251141553
2011,8760,121,1.38127853881279
2012,8784,133,1.51411657559199
2013,8760,253,2.88812785388128
2014,8760,49,0.559360730593607
2015,8760,21,0.23972602739726
2016,8784,2,0.0227686703096539
2017,8760,9,0.102739726027397
2018,8760,75,0.856164383561644
2019,8760,34,0.388127853881279
