"year","n","missing","perc_missing"
2001,8759,10,0.114168284050691
2002,8760,114,1.3013698630137
2003,8760,23,0.262557077625571
2004,8784,3043,34.6425318761384
2005,8760,861,9.82876712328767
2006,8760,10,0.114155251141553
2007,8760,11,0.125570776255708
2008,8784,113,1.28642987249545
2009,8760,583,6.65525114155251
2010,8760,295,3.3675799086758
2011,8760,466,5.31963470319635
2012,8784,117,1.33196721311475
2013,8760,433,4.94292237442922
2014,8760,14,0.159817351598174
2015,8760,154,1.75799086757991
2016,8784,238,2.70947176684882
2017,8760,1574,17.9680365296804
2018,8760,988,11.2785388127854
2019,8760,370,4.22374429223744
