"year","n","missing","perc_missing"
1998,8080,3051,37.759900990099
1999,8760,931,10.6278538812785
2000,8784,743,8.45856102003643
2001,8760,57,0.650684931506849
2002,8760,24,0.273972602739726
2003,8760,16,0.182648401826484
2004,8784,25,0.284608378870674
2005,8760,24,0.273972602739726
2006,8760,52,0.593607305936073
2007,8760,526,6.00456621004566
2008,8784,426,4.84972677595628
2009,8760,123,1.4041095890411
2010,8760,290,3.31050228310502
2011,8760,74,0.844748858447489
2012,8784,1,0.011384335154827
2013,8760,158,1.80365296803653
2014,8760,74,0.844748858447489
2015,8760,125,1.42694063926941
2016,8784,9,0.102459016393443
2017,8760,127,1.44977168949772
2018,8760,130,1.48401826484018
2019,8760,25,0.285388127853881
