"year","n","missing","perc_missing"
2001,8759,29,0.331088023747003
2002,8760,298,3.40182648401826
2003,8760,517,5.90182648401827
2004,8784,22,0.250455373406193
2005,8760,50,0.570776255707763
2006,8760,93,1.06164383561644
2007,8760,6,0.0684931506849315
2008,8784,315,3.58606557377049
2009,8760,17,0.194063926940639
2010,8760,737,8.41324200913242
2011,8760,11,0.125570776255708
2012,8784,458,5.21402550091075
2013,8760,987,11.2671232876712
2014,8760,16,0.182648401826484
2015,8760,103,1.17579908675799
2016,8784,318,3.62021857923497
2017,8760,8,0.091324200913242
2018,8760,594,6.78082191780822
2019,8760,392,4.47488584474886
