"year","n","missing","perc_missing"
1996,8774,67,0.763619785730568
1997,8760,51,0.582191780821918
1998,8760,56,0.639269406392694
1999,8760,40,0.45662100456621
2000,8784,4,0.0455373406193078
2001,8760,101,1.15296803652968
2002,8760,9,0.102739726027397
2003,8760,22,0.251141552511416
2004,8784,166,1.88979963570127
2005,8760,113,1.28995433789954
2006,8760,103,1.17579908675799
2007,8760,75,0.856164383561644
2008,8784,11,0.125227686703097
2009,8760,105,1.1986301369863
2010,8760,247,2.81963470319635
2011,8760,3,0.0342465753424658
2012,8784,124,1.41165755919854
2013,8760,277,3.162100456621
2014,8760,51,0.582191780821918
2015,8760,228,2.6027397260274
2016,8784,55,0.626138433515483
2017,8760,74,0.844748858447489
2018,8760,375,4.28082191780822
2019,8760,49,0.559360730593607
