"year","n","missing","perc_missing"
1995,8760,288,3.28767123287671
1996,8784,374,4.25774134790528
1997,8760,233,2.65981735159817
1998,8760,296,3.37899543378995
1999,8760,253,2.88812785388128
2000,8784,125,1.42304189435337
2001,8760,62,0.707762557077626
2002,8760,89,1.01598173515982
2003,8760,13,0.148401826484018
2004,8784,177,2.01502732240437
2005,8760,396,4.52054794520548
2006,8760,3,0.0342465753424658
2007,8760,47,0.536529680365297
2008,8784,90,1.02459016393443
2009,8760,2,0.0228310502283105
2010,8760,288,3.28767123287671
2011,8760,25,0.285388127853881
2012,8784,148,1.68488160291439
2013,8760,494,5.63926940639269
2014,8760,243,2.77397260273973
2015,8760,160,1.82648401826484
2016,8784,58,0.660291438979964
2017,8760,101,1.15296803652968
2018,8760,153,1.74657534246575
2019,8760,56,0.639269406392694
