"year","n","missing","perc_missing"
1995,8760,45,0.513698630136986
1996,8784,94,1.07012750455373
1997,8760,59,0.67351598173516
1998,8760,41,0.468036529680365
1999,8760,20,0.228310502283105
2000,8784,142,1.61657559198543
2001,8760,36,0.410958904109589
2002,8760,32,0.365296803652968
2003,8760,12,0.136986301369863
2004,8784,125,1.42304189435337
2005,8760,173,1.97488584474886
2006,8760,17,0.194063926940639
2007,8760,46,0.525114155251142
2008,8784,28,0.318761384335155
2009,8760,85,0.970319634703196
2010,8760,134,1.5296803652968
2011,8760,74,0.844748858447489
2012,8784,175,1.99225865209472
2013,8760,384,4.38356164383562
2014,8760,128,1.46118721461187
2015,8760,144,1.64383561643836
2016,8784,55,0.626138433515483
2017,8760,258,2.94520547945205
2018,8760,222,2.53424657534247
2019,8760,73,0.833333333333333
