"year","n","missing","perc_missing"
1995,8760,966,11.027397260274
1996,8784,541,6.15892531876138
1997,8760,536,6.11872146118721
1998,8760,276,3.15068493150685
1999,8760,290,3.31050228310502
2000,8784,415,4.72449908925319
2001,8760,198,2.26027397260274
2002,8760,256,2.92237442922374
2003,8760,766,8.74429223744292
2004,8784,200,2.27686703096539
2005,8760,220,2.51141552511416
2006,8760,794,9.06392694063927
2007,8760,243,2.77397260273973
2008,8784,88,1.00182149362477
2009,8760,268,3.05936073059361
2010,8760,138,1.57534246575342
2011,8760,1,0.0114155251141553
2012,8784,87,0.990437158469945
2013,8760,5,0.0570776255707763
2014,8760,116,1.32420091324201
2015,8760,159,1.81506849315068
2016,8784,6,0.0683060109289618
2017,8760,223,2.54566210045662
2018,8760,76,0.867579908675799
2019,8760,842,9.61187214611872
