"year","n","missing","perc_missing"
1995,8760,1882,21.4840182648402
1996,8784,265,3.01684881602914
1997,8760,461,5.26255707762557
1998,8760,682,7.78538812785388
1999,8760,450,5.13698630136986
2000,8784,1101,12.5341530054645
2001,8760,37,0.422374429223744
2002,8760,429,4.8972602739726
2003,8760,80,0.91324200913242
2004,8784,98,1.11566484517304
2005,8760,673,7.68264840182648
2006,8760,442,5.04566210045662
2007,8760,227,2.59132420091324
2008,8784,216,2.45901639344262
2009,8760,2,0.0228310502283105
2010,8760,373,4.25799086757991
2011,8760,1,0.0114155251141553
2012,8784,123,1.40027322404372
2013,8760,160,1.82648401826484
2014,8760,179,2.04337899543379
2015,8760,61,0.69634703196347
2016,8784,3,0.0341530054644809
2017,8760,100,1.14155251141553
2018,8760,75,0.856164383561644
2019,8760,11,0.125570776255708
