"year","n","missing","perc_missing"
1997,8760,670,7.64840182648402
1998,8760,621,7.08904109589041
1999,8760,1649,18.824200913242
2000,8784,409,4.65619307832423
2001,8760,59,0.67351598173516
2002,8760,1564,17.8538812785388
2003,8760,410,4.68036529680365
2004,8784,513,5.84016393442623
2005,8760,296,3.37899543378995
2006,8760,514,5.8675799086758
2007,8760,3,0.0342465753424658
2008,8784,96,1.09289617486339
2009,8760,396,4.52054794520548
2010,8760,427,4.87442922374429
2011,8760,674,7.69406392694064
2012,8784,76,0.865209471766849
2013,8760,313,3.57305936073059
2014,8760,14,0.159817351598174
2015,8760,217,2.47716894977169
2016,8784,6,0.0683060109289618
2017,8760,13,0.148401826484018
2018,8760,147,1.67808219178082
2019,8760,147,1.67808219178082
