"year","n","missing","perc_missing"
1997,8760,34,0.388127853881279
1998,8760,42,0.479452054794521
1999,8760,6,0.0684931506849315
2000,8784,21,0.239071038251366
2001,8760,34,0.388127853881279
2002,8760,142,1.62100456621005
2003,8760,41,0.468036529680365
2004,8784,495,5.63524590163934
2005,8760,191,2.18036529680365
2006,8760,15,0.171232876712329
2007,8760,2,0.0228310502283105
2008,8784,38,0.432604735883424
2009,8760,225,2.56849315068493
2010,8760,217,2.47716894977169
2011,8760,1,0.0114155251141553
2012,8784,97,1.10428051001821
2013,8760,125,1.42694063926941
2014,8760,13,0.148401826484018
2015,8760,39,0.445205479452055
2016,8784,2,0.0227686703096539
2017,8760,10,0.114155251141553
2018,8760,79,0.901826484018265
2019,8760,3,0.0342465753424658
