"year","n","missing","perc_missing"
1997,8759,680,7.76344331544697
1998,8760,778,8.88127853881278
1999,8760,787,8.98401826484018
2000,8784,324,3.68852459016393
2001,8760,1137,12.9794520547945
2002,8760,358,4.08675799086758
2003,8760,49,0.559360730593607
2004,8784,263,2.99408014571949
2005,8760,787,8.98401826484018
2006,8760,336,3.83561643835616
2007,8760,88,1.00456621004566
2008,8784,306,3.48360655737705
2009,8760,141,1.60958904109589
2010,8760,841,9.60045662100457
2011,8760,97,1.10730593607306
2012,8784,49,0.557832422586521
2013,8760,191,2.18036529680365
2014,8760,9,0.102739726027397
2015,8760,221,2.52283105022831
2016,8784,228,2.59562841530055
2017,8760,149,1.70091324200913
2018,8760,701,8.00228310502283
2019,8760,171,1.95205479452055
