"year","n","missing","perc_missing"
1995,8760,300,3.42465753424658
1996,8784,438,4.98633879781421
1997,8760,328,3.74429223744292
1998,8760,565,6.44977168949772
1999,8760,267,3.04794520547945
2000,8784,224,2.55009107468124
2001,8760,1130,12.8995433789954
2002,8760,180,2.05479452054795
2003,8760,531,6.06164383561644
2004,8784,4,0.0455373406193078
2005,8760,3,0.0342465753424658
2006,8760,156,1.78082191780822
2007,8760,56,0.639269406392694
2008,8784,234,2.66393442622951
2009,8760,4,0.045662100456621
2010,8760,541,6.17579908675799
2011,8760,1,0.0114155251141553
2012,8784,6,0.0683060109289618
2013,8760,1369,15.6278538812785
2014,8760,133,1.51826484018265
2015,8760,207,2.36301369863014
2016,8784,11,0.125227686703097
2017,8760,61,0.69634703196347
2018,8760,242,2.76255707762557
2019,8760,166,1.89497716894977
