"year","n","missing","perc_missing"
2000,8783,128,1.45736081065695
2001,8760,179,2.04337899543379
2002,8760,420,4.79452054794521
2003,8760,255,2.91095890410959
2004,8784,198,2.25409836065574
2005,8760,20,0.228310502283105
2006,8760,8,0.091324200913242
2007,8760,3,0.0342465753424658
2008,8784,9,0.102459016393443
2009,8760,4,0.045662100456621
2010,8760,294,3.35616438356164
2011,8760,2,0.0228310502283105
2012,8784,171,1.94672131147541
2013,8760,410,4.68036529680365
2014,8760,60,0.684931506849315
2015,8760,174,1.98630136986301
2016,8784,72,0.819672131147541
2017,8760,219,2.5
2018,8760,193,2.20319634703196
2019,8760,124,1.41552511415525
