"year","n","missing","perc_missing"
2000,8352,212,2.53831417624521
2001,8760,10,0.114155251141553
2002,8760,121,1.38127853881279
2003,8760,68,0.776255707762557
2004,8784,145,1.65072859744991
2005,8760,189,2.15753424657534
2006,8760,6,0.0684931506849315
2007,8760,3,0.0342465753424658
2008,8784,10,0.11384335154827
2009,8760,56,0.639269406392694
2010,8760,1240,14.1552511415525
2011,8760,875,9.98858447488584
2012,8784,168,1.91256830601093
2013,8760,198,2.26027397260274
2014,8760,51,0.582191780821918
2015,8760,363,4.14383561643836
2016,8784,340,3.87067395264117
2017,8760,412,4.70319634703196
2018,8760,1081,12.3401826484018
2019,8760,338,3.85844748858448
