"year","n","missing","perc_missing"
1995,8760,945,10.7876712328767
1996,8784,290,3.30145719489982
1997,8760,373,4.25799086757991
1998,8760,705,8.04794520547945
1999,8760,202,2.30593607305936
2000,8784,427,4.86111111111111
2001,8760,240,2.73972602739726
2002,8760,123,1.4041095890411
2003,8760,392,4.47488584474886
2004,8784,26,0.295992714025501
2005,8760,305,3.48173515981735
2006,8760,942,10.7534246575342
2007,8760,1,0.0114155251141553
2008,8784,1552,17.6684881602914
2009,8760,6323,72.1803652968037
2010,8760,1,0.0114155251141553
2011,8760,413,4.71461187214612
2012,8784,126,1.4344262295082
2013,8760,1094,12.4885844748858
2014,8760,119,1.35844748858447
2015,8760,34,0.388127853881279
2016,8784,2,0.0227686703096539
2017,8760,26,0.296803652968037
2018,8760,51,0.582191780821918
2019,8760,265,3.02511415525114
