"year","n","missing","perc_missing"
1996,8784,350,3.98451730418944
1997,8760,497,5.67351598173516
1998,8760,1813,20.6963470319635
1999,8760,1076,12.283105022831
2000,8784,735,8.36748633879781
2001,8760,680,7.76255707762557
2002,8760,1685,19.2351598173516
2003,8760,135,1.54109589041096
2004,8784,272,3.09653916211293
2005,8760,689,7.86529680365297
2006,8760,729,8.32191780821918
2007,8760,606,6.91780821917808
2008,8784,164,1.86703096539162
2009,8760,360,4.10958904109589
2010,8760,192,2.19178082191781
2011,8760,120,1.36986301369863
2012,8784,5,0.0569216757741348
2013,8760,673,7.68264840182648
2014,8760,233,2.65981735159817
2015,8760,545,6.22146118721461
2016,8784,423,4.8155737704918
2017,8760,381,4.34931506849315
2018,8760,195,2.22602739726027
2019,8760,276,3.15068493150685
