"year","n","missing","perc_missing"
1995,8760,883,10.0799086757991
1996,8784,1155,13.1489071038251
1997,8760,588,6.71232876712329
1998,8760,718,8.19634703196347
1999,8760,395,4.50913242009132
2000,8784,649,7.3884335154827
2001,8760,2245,25.6278538812785
2002,8760,935,10.6735159817352
2003,8760,711,8.11643835616438
2004,8784,2116,24.0892531876138
2005,8760,361,4.12100456621005
2006,8760,176,2.00913242009132
2007,8760,198,2.26027397260274
2008,8784,133,1.51411657559199
2009,8760,353,4.0296803652968
2010,8760,831,9.48630136986301
2011,8760,83,0.947488584474886
2012,8784,246,2.80054644808743
2013,8760,339,3.86986301369863
2014,8760,87,0.993150684931507
2015,8760,289,3.29908675799087
2016,8784,194,2.20856102003643
2017,8760,108,1.23287671232877
2018,8760,387,4.41780821917808
2019,8760,186,2.12328767123288
