"year","n","missing","perc_missing"
1995,8749,113,1.29157618013487
1996,8784,120,1.36612021857923
1997,8760,40,0.45662100456621
1998,8760,11,0.125570776255708
1999,8760,6,0.0684931506849315
2000,8784,1,0.011384335154827
2001,8760,1,0.0114155251141553
2002,8760,4,0.045662100456621
2003,8760,13,0.148401826484018
2004,8784,61,0.694444444444444
2005,8760,98,1.11872146118721
2006,8760,140,1.59817351598174
2007,8760,177,2.02054794520548
2008,8784,48,0.546448087431694
2009,8760,46,0.525114155251142
2010,8760,463,5.28538812785388
2011,8760,4,0.045662100456621
2012,8784,54,0.614754098360656
2013,8760,465,5.30821917808219
2014,8760,14,0.159817351598174
2015,8760,12,0.136986301369863
2016,8784,6,0.0683060109289618
2017,8760,98,1.11872146118721
2018,8760,222,2.53424657534247
2019,8760,1,0.0114155251141553
