"year","n","missing","perc_missing"
1995,8760,772,8.81278538812785
1996,8784,442,5.03187613843352
1997,8760,151,1.72374429223744
1998,8760,362,4.1324200913242
1999,8760,277,3.162100456621
2000,8784,458,5.21402550091075
2001,8760,247,2.81963470319635
2002,8760,268,3.05936073059361
2003,8760,21,0.23972602739726
2004,8784,175,1.99225865209472
2005,8760,373,4.25799086757991
2006,8760,280,3.19634703196347
2007,8760,564,6.43835616438356
2008,8784,82,0.933515482695811
2009,8760,182,2.07762557077626
2010,8760,241,2.75114155251142
2011,8760,49,0.559360730593607
2012,8784,472,5.37340619307832
2013,8760,481,5.49086757990868
2014,8760,16,0.182648401826484
2015,8760,88,1.00456621004566
2016,8784,4,0.0455373406193078
2017,8760,100,1.14155251141553
2018,8760,278,3.17351598173516
2019,8760,7,0.0799086757990868
