"year","n","missing","perc_missing"
1995,8760,112,1.27853881278539
1996,8784,39,0.443989071038251
1997,8760,95,1.08447488584475
1998,8760,196,2.23744292237443
1999,8760,592,6.75799086757991
2000,8784,243,2.76639344262295
2001,8760,126,1.43835616438356
2002,8760,72,0.821917808219178
2003,8760,66,0.753424657534247
2004,8784,106,1.20673952641166
2005,8760,117,1.33561643835616
2006,8760,126,1.43835616438356
2007,8760,48,0.547945205479452
2008,8784,37,0.421220400728597
2009,8760,362,4.1324200913242
2010,8760,49,0.559360730593607
2011,8760,1,0.0114155251141553
2012,8784,808,9.19854280510018
2013,8760,258,2.94520547945205
2014,8760,150,1.71232876712329
2015,8760,76,0.867579908675799
2016,8784,11,0.125227686703097
2017,8760,346,3.94977168949772
2018,8760,78,0.89041095890411
2019,8760,1,0.0114155251141553
