"year","n","missing","perc_missing"
1999,8760,132,1.50684931506849
2000,8784,213,2.42486338797814
2001,8760,94,1.07305936073059
2002,8760,253,2.88812785388128
2003,8760,24,0.273972602739726
2004,8784,449,5.1115664845173
2005,8760,793,9.05251141552511
2006,8760,1092,12.4657534246575
2007,8760,8,0.091324200913242
2008,8784,314,3.57468123861567
2009,8760,313,3.57305936073059
2010,8760,971,11.0844748858447
2011,8760,1,0.0114155251141553
2012,8784,231,2.62978142076503
2013,8760,1163,13.2762557077626
2014,8760,615,7.02054794520548
2015,8760,51,0.582191780821918
2016,8784,113,1.28642987249545
2017,8760,8,0.091324200913242
2018,8760,904,10.3196347031963
2019,8760,3,0.0342465753424658
