"year","n","missing","perc_missing"
1995,8760,524,5.98173515981735
1996,8784,372,4.23497267759563
1997,8760,528,6.02739726027397
1998,8760,414,4.72602739726027
1999,8760,829,9.4634703196347
2000,8784,874,9.94990892531876
2001,8760,1667,19.0296803652968
2002,8760,699,7.97945205479452
2003,8760,171,1.95205479452055
2004,8784,293,3.3356102003643
2005,8760,848,9.68036529680365
2006,8760,211,2.40867579908676
2007,8760,1115,12.7283105022831
2008,8784,778,8.85701275045537
2009,8760,314,3.58447488584475
2010,8760,409,4.6689497716895
2011,8760,4,0.045662100456621
2012,8784,532,6.05646630236794
2013,8760,313,3.57305936073059
2014,8760,10,0.114155251141553
2015,8760,81,0.924657534246575
2016,8784,5,0.0569216757741348
2017,8760,6,0.0684931506849315
2018,8760,603,6.88356164383562
2019,8760,56,0.639269406392694
