"year","n","missing","perc_missing"
1998,8760,620,7.07762557077626
1999,8760,281,3.20776255707763
2000,8784,859,9.77914389799636
2001,8760,542,6.18721461187215
2002,8760,128,1.46118721461187
2003,8760,104,1.18721461187215
2004,8784,301,3.42668488160291
2005,8760,223,2.54566210045662
2006,8760,513,5.85616438356164
2007,8760,535,6.10730593607306
2008,8784,327,3.72267759562842
2009,8760,234,2.67123287671233
2010,8760,170,1.94063926940639
2011,8760,200,2.28310502283105
2012,8784,86,0.979052823315118
2013,8760,1,0.0114155251141553
2014,8760,147,1.67808219178082
2015,8760,45,0.513698630136986
2016,8784,52,0.591985428051002
2017,8760,101,1.15296803652968
2018,8760,128,1.46118721461187
2019,8760,145,1.65525114155251
