"year","n","missing","perc_missing"
1995,8760,686,7.8310502283105
1996,8784,638,7.2632058287796
1997,8760,290,3.31050228310502
1998,8760,210,2.3972602739726
1999,8760,395,4.50913242009132
2000,8784,365,4.15528233151184
2001,8760,55,0.627853881278539
2002,8760,203,2.31735159817352
2003,8760,82,0.936073059360731
2004,8784,242,2.75500910746812
2005,8760,392,4.47488584474886
2006,8760,197,2.24885844748858
2007,8760,52,0.593607305936073
2008,8784,315,3.58606557377049
2009,8760,764,8.72146118721461
2010,8760,1560,17.8082191780822
2011,8760,646,7.37442922374429
2012,8784,654,7.44535519125683
2013,8760,494,5.63926940639269
2014,8760,225,2.56849315068493
2015,8760,577,6.58675799086758
2016,8784,199,2.26548269581056
2017,8760,80,0.91324200913242
2018,8760,487,5.55936073059361
2019,8760,195,2.22602739726027
