"year","n","missing","perc_missing"
1998,8760,118,1.34703196347032
1999,8760,222,2.53424657534247
2000,8784,103,1.17258652094718
2001,8760,45,0.513698630136986
2002,8760,242,2.76255707762557
2003,8760,111,1.26712328767123
2004,8784,45,0.512295081967213
2005,8760,92,1.05022831050228
2006,8760,30,0.342465753424658
2007,8760,73,0.833333333333333
2008,8784,2,0.0227686703096539
2009,8760,220,2.51141552511416
2010,8760,451,5.14840182648402
2011,8760,1,0.0114155251141553
2012,8784,52,0.591985428051002
2013,8760,395,4.50913242009132
2014,8760,99,1.13013698630137
2015,8760,302,3.44748858447489
2016,8784,12,0.136612021857924
2017,8760,1,0.0114155251141553
2018,8760,227,2.59132420091324
2019,8760,99,1.13013698630137
