"year","n","missing","perc_missing"
1995,8760,270,3.08219178082192
1996,8784,144,1.63934426229508
1997,8760,759,8.66438356164384
1998,8760,221,2.52283105022831
1999,8760,868,9.90867579908676
2000,8784,67,0.762750455373406
2001,8760,445,5.07990867579909
2002,8760,310,3.53881278538813
2003,8760,2,0.0228310502283105
2004,8784,1,0.011384335154827
2005,8760,98,1.11872146118721
2006,8760,349,3.98401826484018
2007,8760,28,0.319634703196347
2008,8784,115,1.3091985428051
2009,8760,235,2.68264840182648
2010,8760,217,2.47716894977169
2011,8760,229,2.61415525114155
2012,8784,25,0.284608378870674
2013,8760,315,3.5958904109589
2014,8760,645,7.36301369863014
2015,8760,294,3.35616438356164
2016,8784,1,0.011384335154827
2017,8760,10,0.114155251141553
2018,8760,173,1.97488584474886
2019,8760,18,0.205479452054795
