"year","n","missing","perc_missing"
2001,8745,1491,17.0497427101201
2002,8760,222,2.53424657534247
2003,8760,197,2.24885844748858
2004,8784,862,9.81329690346084
2005,8760,458,5.22831050228311
2006,8760,109,1.24429223744292
2007,8760,17,0.194063926940639
2008,8784,38,0.432604735883424
2009,8760,29,0.331050228310502
2010,8760,603,6.88356164383562
2011,8760,361,4.12100456621005
2012,8784,74,0.842440801457195
2013,8760,147,1.67808219178082
2014,8760,140,1.59817351598174
2015,8760,52,0.593607305936073
2016,8784,125,1.42304189435337
2017,8760,54,0.616438356164384
2018,8760,350,3.99543378995434
2019,8760,272,3.10502283105023
