"year","n","missing","perc_missing"
1999,8760,209,2.38584474885845
2000,8784,97,1.10428051001821
2001,8760,197,2.24885844748858
2002,8760,412,4.70319634703196
2003,8760,324,3.6986301369863
2004,8784,246,2.80054644808743
2005,8760,212,2.42009132420091
2006,8760,187,2.13470319634703
2007,8760,49,0.559360730593607
2008,8784,1,0.011384335154827
2009,8760,44,0.502283105022831
2010,8760,169,1.92922374429224
2011,8760,1,0.0114155251141553
2012,8784,1,0.011384335154827
2013,8760,100,1.14155251141553
2014,8760,29,0.331050228310502
2015,8760,11,0.125570776255708
2016,8784,7,0.0796903460837887
2017,8760,128,1.46118721461187
2018,8760,102,1.16438356164384
2019,8760,73,0.833333333333333
