"year","n","missing","perc_missing"
1995,8760,274,3.12785388127854
1996,8784,199,2.26548269581056
1997,8760,399,4.55479452054795
1998,8760,333,3.8013698630137
1999,8760,891,10.1712328767123
2000,8784,230,2.6183970856102
2001,8760,58,0.662100456621005
2002,8760,33,0.376712328767123
2003,8760,149,1.70091324200913
2004,8784,227,2.58424408014572
2005,8760,916,10.4566210045662
2006,8760,245,2.79680365296804
2007,8760,58,0.662100456621005
2008,8784,97,1.10428051001821
2009,8760,292,3.33333333333333
2010,8760,1047,11.9520547945205
2011,8760,276,3.15068493150685
2012,8784,101,1.14981785063752
2013,8760,51,0.582191780821918
2014,8760,57,0.650684931506849
2015,8760,194,2.21461187214612
2016,8784,212,2.41347905282332
2017,8760,128,1.46118721461187
2018,8760,290,3.31050228310502
2019,8760,78,0.89041095890411
