"year","n","missing","perc_missing"
2001,8759,147,1.67827377554515
2002,8760,179,2.04337899543379
2003,8760,281,3.20776255707763
2004,8784,74,0.842440801457195
2005,8760,55,0.627853881278539
2006,8760,176,2.00913242009132
2007,8760,7,0.0799086757990868
2008,8784,228,2.59562841530055
2009,8760,444,5.06849315068493
2010,8760,351,4.00684931506849
2011,8760,121,1.38127853881279
2012,8784,681,7.75273224043716
2013,8760,388,4.42922374429224
2014,8760,501,5.71917808219178
2015,8760,240,2.73972602739726
2016,8784,56,0.63752276867031
2017,8760,6,0.0684931506849315
2018,8760,176,2.00913242009132
2019,8760,2,0.0228310502283105
