"year","n","missing","perc_missing"
1995,8760,196,2.23744292237443
1996,8784,380,4.32604735883424
1997,8760,323,3.68721461187215
1998,8760,279,3.18493150684932
1999,8760,136,1.55251141552511
2000,8784,114,1.29781420765027
2001,8760,71,0.810502283105023
2002,8760,18,0.205479452054795
2003,8760,14,0.159817351598174
2004,8784,602,6.85336976320583
2005,8760,98,1.11872146118721
2006,8760,7642,87.2374429223744
2007,8760,1294,14.7716894977169
2008,8784,441,5.02049180327869
2009,8760,436,4.97716894977169
2010,8760,239,2.7283105022831
2011,8760,1,0.0114155251141553
2012,8784,73,0.831056466302368
2013,8760,243,2.77397260273973
2014,8760,245,2.79680365296804
2015,8760,194,2.21461187214612
2016,8784,7,0.0796903460837887
2017,8760,138,1.57534246575342
2018,8760,703,8.02511415525114
2019,8760,1635,18.6643835616438
