"year","n","missing","perc_missing"
1995,8760,890,10.1598173515982
1996,8784,291,3.31284153005464
1997,8760,3918,44.7260273972603
1998,8760,462,5.27397260273973
1999,8760,578,6.59817351598173
2000,8784,673,7.66165755919854
2001,8760,114,1.3013698630137
2002,8760,511,5.83333333333333
2003,8760,19,0.21689497716895
2004,8784,76,0.865209471766849
2005,8760,829,9.4634703196347
2006,8760,698,7.96803652968037
2007,8760,939,10.7191780821918
2008,8784,478,5.44171220400729
2009,8760,928,10.5936073059361
2010,8760,1212,13.8356164383562
2011,8760,49,0.559360730593607
2012,8784,109,1.24089253187614
2013,8760,797,9.09817351598173
2014,8760,251,2.86529680365297
2015,8760,188,2.14611872146119
2016,8784,6,0.0683060109289618
2017,8760,181,2.0662100456621
2018,8760,103,1.17579908675799
2019,8760,22,0.251141552511416
