"year","n","missing","perc_missing"
2000,8784,48,0.546448087431694
2001,8760,215,2.45433789954338
2002,8760,710,8.10502283105023
2003,8760,113,1.28995433789954
2004,8784,209,2.37932604735883
2005,8760,257,2.9337899543379
2006,8760,372,4.24657534246575
2007,8760,211,2.40867579908676
2008,8784,169,1.92395264116576
2009,8760,283,3.23059360730594
2010,8760,406,4.63470319634703
2011,8760,3,0.0342465753424658
2012,8784,30,0.341530054644809
2013,8760,121,1.38127853881279
2014,8760,7,0.0799086757990868
2015,8760,225,2.56849315068493
2016,8784,103,1.17258652094718
2017,8760,49,0.559360730593607
2018,8760,100,1.14155251141553
2019,8760,939,10.7191780821918
