"year","n","missing","perc_missing"
1998,8631,909,10.5318039624609
1999,8760,609,6.95205479452055
2000,8784,757,8.61794171220401
2001,8760,170,1.94063926940639
2002,8760,370,4.22374429223744
2003,8760,347,3.96118721461187
2004,8784,268,3.05100182149362
2005,8760,103,1.17579908675799
2006,8760,363,4.14383561643836
2007,8760,169,1.92922374429224
2008,8784,268,3.05100182149362
2009,8760,708,8.08219178082192
2010,8760,258,2.94520547945205
2011,8760,1,0.0114155251141553
2012,8784,25,0.284608378870674
2013,8760,169,1.92922374429224
2014,8760,681,7.77397260273973
2015,8760,433,4.94292237442922
2016,8784,40,0.455373406193078
2017,8760,100,1.14155251141553
2018,8760,171,1.95205479452055
2019,8760,4,0.045662100456621
