"year","n","missing","perc_missing"
1995,8760,1413,16.1301369863014
1996,8784,1492,16.9854280510018
1997,8760,433,4.94292237442922
1998,8760,442,5.04566210045662
1999,8760,798,9.10958904109589
2000,8784,472,5.37340619307832
2001,8760,1636,18.675799086758
2002,8760,658,7.51141552511416
2003,8760,547,6.24429223744292
2004,8784,275,3.13069216757741
2005,8760,326,3.72146118721461
2006,8760,180,2.05479452054795
2007,8760,149,1.70091324200913
2008,8784,177,2.01502732240437
2009,8760,181,2.0662100456621
2010,8760,709,8.09360730593607
2011,8760,253,2.88812785388128
2012,8784,658,7.49089253187614
2013,8760,110,1.25570776255708
2014,8760,1005,11.472602739726
2015,8760,218,2.48858447488584
2016,8784,51,0.580601092896175
2017,8760,40,0.45662100456621
2018,8760,73,0.833333333333333
2019,8760,82,0.936073059360731
