"year","n","missing","perc_missing"
1995,8760,832,9.49771689497717
1996,8784,1063,12.1015482695811
1997,8760,1326,15.1369863013699
1998,8760,271,3.09360730593607
1999,8760,98,1.11872146118721
2000,8784,512,5.8287795992714
2001,8760,28,0.319634703196347
2002,8760,127,1.44977168949772
2003,8760,6,0.0684931506849315
2004,8784,121,1.37750455373406
2005,8760,309,3.52739726027397
2006,8760,109,1.24429223744292
2007,8760,8,0.091324200913242
2008,8784,145,1.65072859744991
2009,8760,197,2.24885844748858
2010,8760,1118,12.7625570776256
2011,8760,11,0.125570776255708
2012,8784,103,1.17258652094718
2013,8760,101,1.15296803652968
2014,8760,33,0.376712328767123
2015,8760,410,4.68036529680365
2016,8784,348,3.96174863387978
2017,8760,954,10.8904109589041
2018,8760,276,3.15068493150685
2019,8760,371,4.2351598173516
