"year","n","missing","perc_missing"
2000,8783,138,1.57121712398953
2001,8760,723,8.25342465753425
2002,8760,173,1.97488584474886
2003,8760,179,2.04337899543379
2004,8784,433,4.92941712204007
2005,8760,276,3.15068493150685
2006,8760,569,6.49543378995434
2007,8760,358,4.08675799086758
2008,8784,496,5.64663023679417
2009,8760,2,0.0228310502283105
2010,8760,362,4.1324200913242
2011,8760,289,3.29908675799087
2012,8784,124,1.41165755919854
2013,8760,97,1.10730593607306
2014,8760,218,2.48858447488584
2015,8760,121,1.38127853881279
2016,8784,338,3.84790528233151
2017,8760,905,10.3310502283105
2018,8760,1074,12.2602739726027
2019,8760,218,2.48858447488584
