"year","n","missing","perc_missing"
1995,8760,104,1.18721461187215
1996,8784,150,1.70765027322404
1997,8760,64,0.730593607305936
1998,8760,21,0.23972602739726
1999,8760,62,0.707762557077626
2000,8784,24,0.273224043715847
2001,8760,90,1.02739726027397
2002,8760,53,0.605022831050228
2003,8760,59,0.67351598173516
2004,8784,101,1.14981785063752
2005,8760,295,3.3675799086758
2006,8760,51,0.582191780821918
2007,8760,127,1.44977168949772
2008,8784,118,1.34335154826958
2009,8760,97,1.10730593607306
2010,8760,353,4.0296803652968
2011,8760,52,0.593607305936073
2012,8784,62,0.705828779599271
2013,8760,410,4.68036529680365
2014,8760,154,1.75799086757991
2015,8760,51,0.582191780821918
2016,8784,39,0.443989071038251
2017,8760,126,1.43835616438356
2018,8760,303,3.45890410958904
2019,8760,281,3.20776255707763
