"year","n","missing","perc_missing"
1997,8726,141,1.61586064634426
1998,8760,392,4.47488584474886
1999,8760,1539,17.5684931506849
2000,8784,259,2.94854280510018
2001,8760,215,2.45433789954338
2002,8760,370,4.22374429223744
2003,8760,385,4.39497716894977
2004,8784,379,4.31466302367942
2005,8760,1181,13.4817351598174
2006,8760,353,4.0296803652968
2007,8760,52,0.593607305936073
2008,8784,238,2.70947176684882
2009,8760,318,3.63013698630137
2010,8760,33,0.376712328767123
2011,8760,97,1.10730593607306
2012,8784,265,3.01684881602914
2013,8760,169,1.92922374429224
2014,8760,7,0.0799086757990868
2015,8760,128,1.46118721461187
2016,8784,103,1.17258652094718
2017,8760,7,0.0799086757990868
2018,8760,220,2.51141552511416
2019,8760,76,0.867579908675799
