"year","n","missing","perc_missing"
1995,8760,443,5.05707762557078
1996,8784,444,5.05464480874317
1997,8760,1012,11.5525114155251
1998,8760,212,2.42009132420091
1999,8760,146,1.66666666666667
2000,8784,169,1.92395264116576
2001,8760,103,1.17579908675799
2002,8760,17,0.194063926940639
2003,8760,113,1.28995433789954
2004,8784,5,0.0569216757741348
2005,8760,97,1.10730593607306
2006,8760,280,3.19634703196347
2007,8760,779,8.89269406392694
2008,8784,126,1.4344262295082
2009,8760,206,2.35159817351598
2010,8760,1314,15
2011,8760,203,2.31735159817352
2012,8784,374,4.25774134790528
2013,8760,50,0.570776255707763
2014,8760,584,6.66666666666667
2015,8760,2,0.0228310502283105
2016,8784,7,0.0796903460837887
2017,8760,4,0.045662100456621
2018,8760,1,0.0114155251141553
2019,8760,1,0.0114155251141553
