"year","n","missing","perc_missing"
1995,8760,928,10.5936073059361
1996,8784,510,5.80601092896175
1997,8760,342,3.9041095890411
1998,8760,239,2.7283105022831
1999,8760,126,1.43835616438356
2000,8784,260,2.95992714025501
2001,8760,420,4.79452054794521
2002,8760,381,4.34931506849315
2003,8760,223,2.54566210045662
2004,8784,359,4.08697632058288
2005,8760,216,2.46575342465753
2006,8760,54,0.616438356164384
2007,8760,114,1.3013698630137
2008,8784,130,1.4799635701275
2009,8760,591,6.74657534246575
2010,8760,1168,13.3333333333333
2011,8760,11,0.125570776255708
2012,8784,90,1.02459016393443
2013,8760,323,3.68721461187215
2014,8760,133,1.51826484018265
2015,8760,391,4.4634703196347
2016,8784,346,3.93897996357013
2017,8760,216,2.46575342465753
2018,8760,265,3.02511415525114
2019,8760,198,2.26027397260274
