"year","n","missing","perc_missing"
1999,8760,16,0.182648401826484
2000,8784,7,0.0796903460837887
2001,8760,131,1.49543378995434
2002,8760,38,0.4337899543379
2003,8760,46,0.525114155251142
2004,8784,303,3.44945355191257
2005,8760,305,3.48173515981735
2006,8760,55,0.627853881278539
2007,8760,49,0.559360730593607
2008,8784,1,0.011384335154827
2009,8760,106,1.21004566210046
2010,8760,243,2.77397260273973
2011,8760,3,0.0342465753424658
2012,8784,193,2.1971766848816
2013,8760,490,5.59360730593607
2014,8760,24,0.273972602739726
2015,8760,72,0.821917808219178
2016,8784,5,0.0569216757741348
2017,8760,146,1.66666666666667
2018,8760,244,2.78538812785388
2019,8760,36,0.410958904109589
