"year","n","missing","perc_missing"
1995,8760,538,6.14155251141552
1996,8784,447,5.08879781420765
1997,8760,282,3.21917808219178
1998,8760,830,9.47488584474886
1999,8760,473,5.39954337899543
2000,8784,1809,20.594262295082
2001,8760,1199,13.6872146118721
2002,8760,569,6.49543378995434
2003,8760,487,5.55936073059361
2004,8784,2,0.0227686703096539
2005,8760,439,5.01141552511416
2006,8760,34,0.388127853881279
2007,8760,219,2.5
2008,8784,944,10.7468123861566
2009,8760,113,1.28995433789954
2010,8760,120,1.36986301369863
2011,8760,2,0.0228310502283105
2012,8784,1,0.011384335154827
2013,8760,268,3.05936073059361
2014,8760,17,0.194063926940639
2015,8760,13,0.148401826484018
2016,8784,748,8.51548269581057
2017,8760,80,0.91324200913242
2018,8760,5,0.0570776255707763
2019,8530,26,0.304806565064478
