"year","n","missing","perc_missing"
1995,8760,199,2.2716894977169
1996,8784,223,2.53870673952641
1997,8760,129,1.47260273972603
1998,8760,466,5.31963470319635
1999,8760,274,3.12785388127854
2000,8784,123,1.40027322404372
2001,8760,30,0.342465753424658
2002,8760,6,0.0684931506849315
2003,8760,196,2.23744292237443
2004,8784,371,4.2235883424408
2005,8760,2,0.0228310502283105
2006,8760,66,0.753424657534247
2007,8760,191,2.18036529680365
2008,8784,511,5.81739526411658
2009,8760,2,0.0228310502283105
2010,8760,97,1.10730593607306
2011,8760,1,0.0114155251141553
2012,8784,554,6.30692167577413
2013,8760,168,1.91780821917808
2014,8760,59,0.67351598173516
2015,8760,320,3.65296803652968
2016,8784,10,0.11384335154827
2017,8760,151,1.72374429223744
2018,8760,125,1.42694063926941
2019,8760,256,2.92237442922374
