"year","n","missing","perc_missing"
1995,8760,1007,11.4954337899543
1996,8784,712,8.10564663023679
1997,8760,1025,11.7009132420091
1998,8760,408,4.65753424657534
1999,8760,536,6.11872146118721
2000,8784,227,2.58424408014572
2001,8760,149,1.70091324200913
2002,8760,148,1.68949771689498
2003,8760,38,0.4337899543379
2004,8784,139,1.58242258652095
2005,8760,56,0.639269406392694
2006,8760,516,5.89041095890411
2007,8760,79,0.901826484018265
2008,8784,43,0.489526411657559
2009,8760,180,2.05479452054795
2010,8760,666,7.6027397260274
2011,8760,193,2.20319634703196
2012,8784,25,0.284608378870674
2013,8760,50,0.570776255707763
2014,8760,31,0.353881278538813
2015,8760,220,2.51141552511416
2016,8784,1770,20.1502732240437
2017,8760,459,5.23972602739726
2018,8760,663,7.56849315068493
2019,8760,25,0.285388127853881
