"year","n","missing","perc_missing"
1998,8760,1621,18.5045662100457
1999,8760,99,1.13013698630137
2000,8784,553,6.29553734061931
2001,8760,616,7.03196347031963
2002,8760,819,9.34931506849315
2003,8760,82,0.936073059360731
2004,8784,32,0.364298724954463
2005,8760,42,0.479452054794521
2006,8760,309,3.52739726027397
2007,8760,4,0.045662100456621
2008,8784,26,0.295992714025501
2009,8760,52,0.593607305936073
2010,8760,842,9.61187214611872
2011,8760,433,4.94292237442922
2012,8784,805,9.1643897996357
2013,8760,49,0.559360730593607
2014,8760,28,0.319634703196347
2015,8760,272,3.10502283105023
2016,8784,8,0.0910746812386157
2017,8760,30,0.342465753424658
2018,8760,147,1.67808219178082
2019,8760,319,3.64155251141552
