"year","n","missing","perc_missing"
2001,8759,7,0.0799177988354835
2002,8760,191,2.18036529680365
2003,8760,1085,12.3858447488584
2004,8784,1375,15.6534608378871
2005,8760,353,4.0296803652968
2006,8760,652,7.44292237442922
2007,8760,684,7.80821917808219
2008,8784,1093,12.4430783242259
2009,8760,1045,11.9292237442922
2010,8760,924,10.5479452054795
2011,8760,144,1.64383561643836
2012,8784,1094,12.4544626593807
2013,8760,311,3.55022831050228
2014,8760,11,0.125570776255708
2015,8760,108,1.23287671232877
2016,8784,2317,26.3775045537341
2017,8760,3,0.0342465753424658
2018,8760,509,5.81050228310502
2019,8760,2,0.0228310502283105
