"year","n","missing","perc_missing"
1995,8760,151,1.72374429223744
1996,8784,134,1.52550091074681
1997,8760,43,0.490867579908676
1998,8760,34,0.388127853881279
1999,8760,25,0.285388127853881
2000,8784,13,0.14799635701275
2001,8760,37,0.422374429223744
2002,8760,9,0.102739726027397
2003,8760,79,0.901826484018265
2004,8784,105,1.19535519125683
2005,8760,137,1.56392694063927
2006,8760,80,0.91324200913242
2007,8760,134,1.5296803652968
2008,8784,77,0.876593806921676
2009,8760,298,3.40182648401826
2010,8760,202,2.30593607305936
2011,8760,2,0.0228310502283105
2012,8784,760,8.65209471766849
2013,8760,429,4.8972602739726
2014,8760,179,2.04337899543379
2015,8760,283,3.23059360730594
2016,8784,54,0.614754098360656
2017,8760,292,3.33333333333333
2018,8760,417,4.76027397260274
2019,8760,15,0.171232876712329
