"year","n","missing","perc_missing"
2001,8759,11,0.12558511245576
2002,8760,113,1.28995433789954
2003,8760,15,0.171232876712329
2004,8784,540,6.14754098360656
2005,8760,965,11.0159817351598
2006,8760,10,0.114155251141553
2007,8760,167,1.90639269406393
2008,8784,444,5.05464480874317
2009,8760,697,7.95662100456621
2010,8760,906,10.3424657534247
2011,8760,312,3.56164383561644
2012,8784,303,3.44945355191257
2013,8760,551,6.28995433789954
2014,8760,12,0.136986301369863
2015,8760,304,3.4703196347032
2016,8784,136,1.54826958105647
2017,8760,370,4.22374429223744
2018,8760,927,10.5821917808219
2019,8760,52,0.593607305936073
