"year","n","missing","perc_missing"
1995,8760,36,0.410958904109589
1996,8784,602,6.85336976320583
1997,8760,47,0.536529680365297
1998,8760,18,0.205479452054795
1999,8760,5,0.0570776255707763
2000,8784,32,0.364298724954463
2001,8760,29,0.331050228310502
2002,8760,84,0.958904109589041
2003,8760,53,0.605022831050228
2004,8784,112,1.27504553734062
2005,8760,617,7.04337899543379
2006,8760,659,7.52283105022831
2007,8760,32,0.365296803652968
2008,8784,83,0.944899817850637
2009,8760,139,1.58675799086758
2010,8760,100,1.14155251141553
2011,8760,3,0.0342465753424658
2012,8784,156,1.77595628415301
2013,8760,487,5.55936073059361
2014,8760,235,2.68264840182648
2015,8760,154,1.75799086757991
2016,8784,12,0.136612021857924
2017,8760,54,0.616438356164384
2018,8760,114,1.3013698630137
2019,8760,145,1.65525114155251
