"src_id","station_name","historic_county","station_latitude","station_longitude","station_elevation","years_of_hourly","R","R_1995","R_1996","R_1997","R_1998","R_1999","R_2000","R_2001","R_2002","R_2003","R_2004","R_2005","R_2006","R_2007","R_2008","R_2009","R_2010","R_2011","R_2012","R_2013","R_2014","R_2015","R_2016","R_2017","R_2018","R_2019"
1161,"ABERDARON","gwynedd",52.789,-4.741,86,23,587.383141243439,NA,"339.74269","350.22787","526.26698","721.38003","856.66300","236.05813",NA,"390.68184","609.20715","782.68927","464.92353","580.44571","758.21249","603.05999","380.09361","332.31388","688.28303","773.25407","544.63529","646.27449","831.96212","607.49955","554.50667","931.43086"
1198,"ABERPORTH","dyfed",52.14,-4.571,133,25,521.025615064045,"453.28122","404.00448","479.78683","476.03672","675.10276","498.73074","636.47292","474.04854","285.62461","619.43941","704.17198","374.89957","450.23774","530.85039","567.35461","394.35063","311.36039","693.64701","381.39112","789.95254","448.65023","452.09430","644.48144","780.19760","499.47258"
150,"ABOYNE NO 2","aberdeenshire",57.076,-2.841,140,22,401.582074669446,"866.59309","363.91929","410.67060","348.56718","527.35288","438.93049","290.49436","597.69907","222.08424","380.46303","235.69404","432.68714","617.43232","262.71892",NA,NA,"277.59440","327.58432","304.14535","554.81815","411.80877",NA,"263.84527","298.06736","401.63538"
44,"ALTNAHARRA NO 2","sutherland",58.288,-4.442,81,20,482.787986014385,NA,NA,"370.46768","569.32438",NA,"594.22266","352.07422","426.32628",NA,"672.25843","500.83046","794.23946","379.26837","592.06148","322.12062",NA,"386.84012","466.86274","463.14977","490.31272","467.85523","422.38480","674.92589","278.73968","431.49474"
19188,"ANDREWSFIELD","essex",51.896,0.451,87,20,394.424340260494,NA,NA,NA,"269.23095","438.43658","573.87552","511.89143","809.80025","201.35094","744.03374",NA,"481.17624","530.21204","284.53520",NA,"233.69543","239.96598","339.25556","338.02511","450.50737","281.85169","320.16858","308.45715","308.12528","223.89177"
52,"AULTBEA NO 2","ross-and-cromarty",57.859,-5.633,11,23,721.919659627276,NA," 617.74101"," 748.86424"," 900.65506","1123.73955"," 599.51967"," 621.10338"," 530.34221"," 539.02624"," 790.59427","1033.98584"," 639.03608"," 701.79051"," 671.37343"," 637.62640"," 422.78854"," 897.05658"," 715.68132"," 732.22236","1027.29534"," 792.06479"," 609.59325"," 556.94889",NA," 695.10320"
113,"AVIEMORE","inverness-shire",57.206,-3.828,228,18,415.69872774534,NA,NA,NA,NA,NA,"364.44954","246.75154","466.39993","237.18755","337.17590","475.64936","523.62704","354.71795","526.64483","468.63941",NA,"471.52997","292.92990","340.42482","433.90890","378.37543","509.69801",NA,"242.11599","812.35104"
12,"BALTASOUND NO 2","shetland",60.748,-0.856,15,20,413.842742928291,NA,NA,"350.35391","379.88732",NA,"358.30203","321.67916","382.67375","432.61094","398.36013","438.38851","403.52839","413.96458","525.63546","377.49235","422.84385","455.77166","451.96818",NA,"605.23789","483.68646","329.40600",NA,"351.61970","393.44458"
461,"BEDFORD","bedfordshire",52.227,-0.465,85,25,357.404829904526," 356.755715"," 176.362587"," 259.732970"," 532.862825"," 282.505250"," 328.112034"," 349.162941"," 613.949423"," 197.561243","1373.367698"," 344.039663"," 337.534456"," 369.929125"," 381.523975"," 256.215941"," 171.874533"," 144.160859"," 383.841173"," 214.922885"," 336.832286"," 376.321423"," 292.137669"," 450.065674"," 255.234466"," 150.113935"
613,"BENSON","oxfordshire",51.62,-1.099,57,25,334.63365724066,"354.86225","346.45181","297.06608","307.73545","346.71246","418.64926","452.65324","406.63784","237.66301","458.60660","212.38222","422.09145","295.99505","402.26997","268.64361","206.35969","212.81786","383.82916","269.57482","522.58641","181.00477","526.41184","214.87001","269.98905","349.97748"
513,"BINGLEY, NO 2","west-yorkshire",53.811,-1.867,262,23,636.534469226835,NA," 547.61414"," 608.25047"," 675.11175"," 747.84200",NA," 391.90666"," 804.27172"," 305.45451"," 391.23740"," 497.12254","1559.51442"," 891.26388"," 791.35973"," 589.08248"," 335.97447"," 317.46535","1162.19994"," 521.22027"," 669.98326"," 868.87863"," 461.42995"," 406.84250"," 421.57389"," 674.69286"
889,"BOSCOMBE DOWN","wiltshire",51.162,-1.755,126,25,557.493871740635," 580.49210","1202.25640"," 347.91325"," 584.18349"," 790.61292"," 728.77079"," 402.25202"," 581.95341"," 316.24426"," 542.15389"," 249.01720"," 698.07925"," 404.44302"," 736.17608"," 546.34069"," 251.71471"," 492.12218"," 668.61970"," 602.59833"," 436.20659"," 579.20580"," 669.69387"," 478.09131"," 428.10270"," 620.10282"
315,"BOULMER","northumberland",55.421,-1.601,23,23,414.008298754309,"207.877946","296.102733","308.411249","439.085944","497.345870","350.705380","352.846763","632.469931","337.076223","361.240752","724.807499","356.030311","244.579856","703.178968","638.331994",NA,"366.508747","670.211581","369.030967","368.548709","423.736470","305.099074","305.218644","263.745259",NA
373,"BRIDLINGTON MRSC","humberside",54.094,-0.176,15,19,317.621985932043,NA,NA,NA,NA,NA,NA,"312.528243","241.503450","271.902578","386.823426","193.008082","356.726289","630.521057","490.067004","228.079580","316.711522","138.796204","333.128590","185.325083","308.138694","238.107951","341.289979","381.225626","329.590097","351.344275"
605,"BRIZE NORTON","oxfordshire",51.758,-1.578,82,25,494.714464549368," 369.61162"," 298.27190"," 358.74851"," 617.99287"," 450.24941"," 387.74418"," 351.62733"," 329.32123"," 249.07767"," 402.10671"," 594.04143","1540.29863","1507.73611"," 722.79523"," 551.55270"," 213.11687"," 181.00344"," 584.38571"," 272.54402"," 428.70052"," 302.65891"," 557.04364"," 231.40797"," 455.67353"," 410.15146"
1395,"CAMBORNE","cornwall",50.218,-5.328,87,25,734.920741241529," 443.95098"," 576.13897"," 801.12889"," 939.12458"," 693.58106"," 821.78809"," 419.28838"," 937.81346"," 820.62601","1106.08881"," 436.54073"," 690.15073"," 698.10131"," 495.25391"," 892.35359"," 621.43297"," 433.78133"," 995.58623"," 699.61569"," 726.62036"," 747.57181","1160.15511"," 697.13030"," 709.82991"," 809.36534"
1171,"CAPEL CURIG NO 3","gwynedd",53.094,-3.941,216,23,3016.62967410429,"2446.6498","2220.9542","2243.2005","3050.0009","3324.1656","2909.3492",NA,"3130.6600","1768.8974","3816.7598","3072.8582","3709.9574","3312.8903","4567.2528","2476.0760",NA,"3110.5123","2541.6581","2110.6445","2104.7882","5718.4851","3199.9269","3144.9587","2158.6657","3243.1709"
1415,"CARDINHAM, BODMIN","cornwall",50.502,-4.667,200,21,1051.27640513001,NA,"1382.01868"," 954.93866","1639.39459",NA,"1343.48768"," 704.19972",NA,"1699.43286"," 975.73730","1324.67190"," 557.30732",NA," 887.16726","1146.27812","1022.63046"," 720.03923","1284.98971"," 914.61315","1541.69253"," 809.45180"," 568.68456","1018.62483"," 668.09690"," 913.34724"
1070,"CARLISLE","cumbria",54.934,-2.964,28,20,623.958350001637,NA," 236.97154"," 339.06575",NA,NA," 589.79975",NA,NA," 274.40301"," 712.98600","1328.49998"," 521.03080"," 502.25129"," 573.52183"," 586.47439"," 324.80998"," 532.07234"," 731.36884","1143.90701"," 777.10846"," 620.23214"," 582.22272"," 951.59891"," 323.74249"," 827.09977"
40,"CASSLEY","sutherland",58.168,-4.727,99,17,1370.67889294724,NA,NA,NA,NA,NA,"1687.79789","1077.62198","1057.28526"," 840.32446","1583.55079","2141.67968","1553.29635","1909.19260",NA,"1189.86939"," 595.74864","1593.40451","1459.41857","1476.12647",NA,NA,"1792.09607","1110.45515"," 941.94532","1291.72803"
268,"CHARTERHALL","berwickshire",55.709,-2.385,112,24,388.300548598698,"196.11290","213.74897","215.87372","333.70037","290.66612","667.37734","242.51099","637.30057","155.06597","428.94200","363.80141","273.94988","319.95139","496.08153","775.53545","298.95115","376.89050","785.45550","324.51427","408.27102","314.21781","357.63486",NA,"358.36500","484.29442"
1346,"CHIVENOR","devon",51.089,-4.149,6,24,522.447661603836,NA," 264.14396"," 400.25727"," 427.47898"," 502.72797","1230.08104"," 304.14538"," 595.63179"," 337.79286"," 390.05420"," 421.16198"," 291.53870"," 557.29618"," 588.39993"," 811.39410"," 437.43705"," 451.07280"," 597.25676"," 602.89328"," 447.36303"," 657.31834"," 496.09299"," 653.12412"," 353.77032"," 720.31086"
